,compounds,mzs,shortRT,mz,ratios,gro,int,longRT,estC,SS,phenolics,acid,NN,aliph,CO,bs,ord,,,,,,,,,,,,
19.859,,590.169,1.555624338,c(590.168801326839,591.1701664,592.1827626, 593.184900689578),c(1,0.314100918,0.812491365, 0.231659415830827),19,c(9833.96568654144,3091.194645,7986.664684, 2280.32856562183),1.780677269,27,0,3,0,0,0,0,1,855,,,
19.881,,600.199,1.549148829,c(600.19875113908, 601.199917770662),c(1, 0.300555895298587),19,c(22354.936974418, 6719.88130141157),1.771868961,26,0,2,0,0,0,0,1,878,,,,,,,,,
19.883,,602.144,1.576142793,c(602.143538856626, 603.148308094091),c(1, 0.243020719859286),19,c(16671.4262316448, 4049.75640119892),1.808607692,21,0,1,0,0,0,0,1,880,,,,,,,,,
19.89,,604.181,1.570684619,c(604.180763669987,605.1812371,606.1917975, 608.21175799619),c(1,0.488672868,1.01123353, 1.17634836170258),19,c(8274.86560432981,4041.667196,8365.049981, 9727.35427954613),1.8011748,43,0,6,0,0,0,1,0,887,,,
19.917,,614.181,1.597248304,c(614.181405529532,615.18297, 616.170583155021),c(1,0.328259607, 0.833579741596487),19,c(9262.25724376601,3048.460855, 7722.34318716183),1.837370205,29,0,3,0,0,0,0,1,915,,,,,,
19.98,,644.178,1.588070347,c(644.177570748433,645.181263, 646.183259811889),c(1,0.282541098, 0.171754828901812),19,c(22342.5271956092,6315.717801, 3841.1717151134),1.824858333,25,0,2,0,0,0,0,1,978,,,,,,
19.1,,652.208,1.555102311,c(652.207604998348, 653.208090939184),c(1, 0.263559596366615),19,c(7095.95106805831, 1872.00875726237),1.77996707,23,0,1,0,0,0,0,1,998,,,,,,,,,
19.1018,,660.188,1.590495791,c(660.187667974846, 661.208206329017),c(1, 0.372778257332348),19,c(4947.74523692381, 1848.95675197289),1.828164195,33,0,4,0,0,0,0,1,1016,,,,,,,,,
19.1031,,664.204,1.563322782,c(664.204345850537, 665.214338698197),c(1, 0.361931699195608),19,c(6013.43214505708, 2182.11175177491),1.791153023,32,0,3,0,0,0,0,1,1029,,,,,,,,,
19.104,stachyose,666.219,1.554953301,c(666.21866875007, 667.221429412698),c(1, 0.264921933469662),19,c(14914.2383968523, 3956.70803713062),1.779764351,23,0,1,0,0,0,0,1,1038,,,,,,,,,
19.1062,,676.178,1.57285316,c(676.177510343605, 677.198186096739),c(1, 0.49245745594319),19,c(4523.82430358555, 2229.9022547081),1.804127634,43,0,6,0,0,0,0,0,1061,,,,,,,,,
19.108,,682.229,1.583554431,c(682.229393673643, 683.243585179782),c(1, 0.326284926815044),19,c(7898.66697580741, 2580.53746793657),1.818704374,28,0,2,0,0,0,0,1,1080,,,,,,,,,
19.1104,,694.211,1.56225599,c(694.211139380095, 695.221043425311),c(1, 0.406611082538155),19,c(5307.47925017079, 2159.75965791839),1.789701114,36,0,4,0,0,0,0,1,1104,,,,,,,,,
19.1109,,696.231,1.549468469,c(696.231079853946, 697.232191403651),c(1, 0.286085500844965),19,c(19229.3738692574, 5501.83972613415),1.77230368,25,0,1,0,0,0,0,1,1109,,,,,,,,,
